Text	Sentiment	Probability
sentence	Negative	66
it 's a charming and often affecting journey . 	Positive	99
unflinchingly bleak and desperate 	Negative	57
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	Positive	99
the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	Positive	99
it 's slow -- very , very slow . 	Negative	99
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 	Positive	99
a sometimes tedious film . 	Negative	53
or doing last year 's taxes with your ex-wife . 	Negative	96
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	Positive	99
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 	Negative	99
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	Positive	99
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 	Negative	99
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 	Negative	99
we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 	Positive	58
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 	Negative	99
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . 	Positive	99
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 	Positive	98
audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	Positive	99
... the movie is just a plain old monster . 	Negative	99
in its best moments , resembles a bad high school production of grease , without benefit of song . 	Negative	99
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	Negative	93
the iditarod lasts for days - this just felt like it did . 	Negative	89
holden caulfield did it better . 	Negative	58
a delectable and intriguing thriller filled with surprises , read my lips is an original . 	Positive	99
seldom has a movie so closely matched the spirit of a man and his work . 	Positive	98
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	Negative	99
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 	Negative	96
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	Positive	99
it 's a cookie-cutter movie , a cut-and-paste job . 	Negative	98
i had to look away - this was god awful . 	Negative	98
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 	Positive	99
... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 	Negative	89
a gorgeous , witty , seductive movie . 	Positive	99
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . 	Negative	97
it does n't believe in itself , it has no sense of humor ... it 's just plain bored . 	Negative	99
a sequence of ridiculous shoot - 'em - up scenes . 	Negative	99
the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	Positive	97
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	Negative	94
as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	Positive	98
escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 	Positive	99
there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . 	Positive	99
this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 	Positive	99
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 	Positive	98
holm ... embodies the character with an effortlessly regal charisma . 	Positive	99
the title not only describes its main characters , but the lazy people behind the camera as well . 	Negative	78
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 	Negative	71
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 	Positive	84
a subtle and well-crafted ( for the most part ) chiller . 	Positive	99
has a lot of the virtues of eastwood at his best . 	Positive	99
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . 	Negative	99
it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . 	Negative	98
for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	Positive	99
mr. tsai is a very original artist in his medium , and what time is it there ? 	Positive	94
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 	Positive	99
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	Negative	98
a tender , heartfelt family drama . 	Positive	99
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 	Negative	99
the cold turkey would 've been a far better title . 	Negative	97
manages to be both repulsively sadistic and mundane . 	Negative	53
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 	Negative	99
this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 	Positive	99
schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . 	Negative	99
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 	Positive	88
on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 	Positive	99
the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . 	Negative	70
you wonder why enough was n't just a music video rather than a full-length movie . 	Negative	98
if you 're hard up for raunchy college humor , this is your ticket right here . 	Positive	96
a fast , funny , highly enjoyable movie . 	Positive	99
good old-fashioned slash-and-hack is back ! 	Positive	68
this one is definitely one to skip , even for horror movie fanatics . 	Negative	79
for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	Negative	97
exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	Positive	99
uses high comedy to evoke surprising poignance . 	Positive	99
one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	Positive	94
a string of rehashed sight gags based in insipid vulgarity . 	Negative	99
among the year 's most intriguing explorations of alientation . 	Positive	99
the movie fails to live up to the sum of its parts . 	Negative	99
the son 's room is a triumph of gentility that earns its moments of pathos . 	Positive	98
there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 	Positive	95
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 	Negative	99
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . 	Positive	99
green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	Negative	98
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	Negative	91
though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	Positive	63
the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 	Positive	99
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . 	Positive	98
the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 	Negative	99
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 	Positive	88
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	Positive	93
we know the plot 's a little crazy , but it held my interest from start to finish . 	Positive	98
